true_height,true_weight,predicted_height,predicted_weight,height_relative_error,weight_relative_error
94.75,12.7,87.49063,11.564659,0.0766160305697559,0.0893969197911539
80.55,10.1,84.31793,10.8110285,0.0467775559144165,0.0703988594583946
72.05,7.7,68.99816,7.8903027,0.0423572336444417,0.0247146309196174
100.4,13.1,87.352455,11.660461,0.1299556261039825,0.1098884407800572
88.6,11.9,83.83008,10.431364,0.0538365900112866,0.1234147849203158
96.0,14.7,80.51334,10.660387,0.1613193353017171,0.2748036027765598
70.0,8.8,77.76261,9.099082,0.1108944484165736,0.0339865901253439
87.75,12.6,88.310814,12.237801,0.0063910416388443,0.0287459842742435
72.1,8.1,81.192024,9.552256,0.1261029713031489,0.179290818579403
99.35,15.1,90.49851,12.563529,0.0890939882429148,0.1679782109544766
76.6,9.0,82.52147,10.802935,0.0773037743630671,0.2003260718451606
92.7,15.6,92.581604,12.889939,0.0012771952113673,0.1737218392200958
89.45,12.1,90.64519,12.221503,0.013361513448068,0.0100415915497078
86.5,11.2,88.807594,11.823107,0.0266773907435422,0.0556345326559884
77.45,10.6,69.56417,8.155564,0.1018183235971292,0.230607140739009
61.150000000000006,6.8,74.91046,8.810644,0.2250279873390227,0.2956829632029814
93.2,13.1,90.92516,12.640136,0.0244081194308694,0.0351041400705584
98.7,13.9,89.08434,12.621337,0.0974230703491087,0.0919901484208141
51.35,3.5,62.14294,7.2426863,0.2101838465674826,1.0693389347621374
80.5,9.3,84.72921,11.269662,0.0525367689428862,0.2117916025141233
73.4,8.4,83.55265,10.941526,0.1383194884422363,0.3025626682099841
70.15,7.3,71.4043,8.260577,0.0178802120456164,0.1315859180607208
90.9,11.5,96.033745,13.3576565,0.0564768406161904,0.1615353459897248
73.45,7.8,72.497086,8.642493,0.0129736477700604,0.1080119548699795
84.45,10.1,85.07465,11.500042,0.0073967273592454,0.138618016006923
94.5,14.3,85.48286,11.420176,0.0954195052858383,0.2013863250092193
84.15,10.0,82.03818,11.034619,0.0250959300031566,0.1034619331359863
100.75,17.2,81.93377,10.661831,0.1867615957709755,0.3801261103430459
87.9,10.8,85.4049,11.494759,0.0283856701118547,0.0643295005515769
64.25,6.5,76.90585,8.730875,0.1969782610347762,0.3432115408090445
57.25,14.7,95.35122,12.10575,0.6655234790785344,0.1764795861276639
99.45,14.1,85.9694,11.451251,0.1355515485315721,0.1878545368816835
62.45,5.6,78.357574,9.625464,0.2547249713833566,0.7188329356057305
83.25,9.8,92.31705,12.210993,0.1089134789085961,0.2460196748071786
75.8,8.9,78.54118,9.505752,0.0361633703387822,0.0680619786294658
86.35,11.2,98.2975,13.414029,0.1383613272767987,0.1976811715534756
97.7,13.2,99.18986,13.969541,0.0152493089345972,0.0582985300006289
71.15,7.7,73.08825,9.262954,0.027241731645017,0.2029810075636033
68.0,6.3,69.11959,8.355703,0.0164645699893727,0.3263021196637835
75.85,8.7,67.50289,7.8925757,0.1100475736252162,0.0928073861133092
91.45,11.8,85.67405,11.462921,0.0631596568896511,0.0285660048662606
83.6,10.4,75.82206,9.713708,0.0930375642183294,0.0659896227029654
91.75,12.3,75.21489,9.896101,0.1802191877235184,0.195438943258146
86.35,10.4,66.576706,8.561473,0.2289900876361645,0.1767814526191125
74.55,8.6,71.54811,8.025342,0.0402667879018904,0.0668206991151321
88.15,10.5,91.12536,12.42011,0.0337533588376966,0.1828675951276506
99.3,12.8,102.61009,14.213781,0.033334261461087,0.1104516685009002
93.6,14.8,82.29808,11.01057,0.1207470037998296,0.2560425964561669
88.4,12.4,89.69544,12.000325,0.0146543235260975,0.0322318384724278
73.45,7.8,68.69809,8.024547,0.0646958529665163,0.0287880286192282
109.25,17.4,75.647,10.086659,0.3075789183173627,0.4203069292265793
82.55,9.7,93.204796,12.503987,0.1290708157165638,0.2890708569398861
63.150000000000006,6.4,66.24887,7.781215,0.0490715890674484,0.2158148735761642
87.35,11.2,99.38854,13.198621,0.1378196013198966,0.1784482853753227
87.5,11.0,88.40532,12.547321,0.0103465053013392,0.1406655745072798
95.2,11.6,84.423386,11.252719,0.113199730881122,0.0299380236658556
91.65,10.4,84.93549,11.806165,0.073262482605147,0.1352081482227031
59.75,5.8,73.83244,8.26624,0.2356894265657688,0.4252138137817383
95.5,13.9,92.2752,12.388818,0.0337675404174165,0.1087181448078841
96.55,12.7,81.96392,10.763632,0.1510728058698941,0.152469935379629
83.3,10.9,91.351654,12.177275,0.0966585120376275,0.1171811655027056
87.15,10.6,84.38923,10.98413,0.0316783841560438,0.0362386703491211
67.2,7.4,83.231255,9.852443,0.2385603359767368,0.3314111812694652
82.6,10.0,83.96028,11.045319,0.0164682974826915,0.1045318603515625
84.5,10.8,92.95283,13.245401,0.1000334609895062,0.2264260539302118
89.05,12.6,94.12407,12.307771,0.0569800024016529,0.0231927992805601
61.0,5.5,71.43725,8.373438,0.1711024299996798,0.522443251176314
98.0,14.5,99.3548,14.156829,0.013824462890625,0.0236669737717201
83.75,8.8,92.11133,12.060599,0.0998367537313432,0.3705226508053865
82.3,9.7,81.46508,10.848656,0.0101448327918533,0.1184181134725355
78.0,8.6,74.1782,8.596341,0.0489974388709435,0.0004254496374795
81.4,9.7,69.75714,7.943329,0.1430326644560043,0.1811001177915592
88.65,10.6,77.100235,9.5386305,0.1302849973451601,0.1001291994778614
90.45,11.0,94.87981,13.4430685,0.0489751964461546,0.2220971367575905
70.75,7.7,67.054375,7.550935,0.052234986645594,0.019359117978579
79.55,8.8,70.7521,8.287017,0.1105958757574343,0.0582935376600786
100.55,14.2,98.30958,13.306503,0.0222816713884183,0.0629223031057437
83.2,8.8,76.974495,9.25683,0.0748257820422833,0.0519125244834205
85.55,11.1,94.835785,12.865627,0.1085421965179354,0.1590655215151675
94.05,12.6,98.60679,13.407583,0.0484507031924923,0.0640939076741536
91.5,11.3,78.19633,10.407786,0.1453953310440147,0.0789569584669265
87.55,12.0,83.49597,11.009183,0.0463052920652484,0.082568089167277
90.7,12.3,76.137024,10.037299,0.16056202948422,0.1839594181960191
83.05,9.8,88.9817,11.138891,0.0714232038834381,0.1366215530706911
87.3,11.3,87.69041,11.332907,0.0044720137378741,0.0029120993825186
95.5,12.4,85.50427,11.371035,0.1046673040739528,0.082981078855453
90.15,12.2,87.06329,11.303962,0.0342396732442457,0.0734457578815397
74.35,8.2,71.9175,8.344305,0.0327168344729845,0.0175981754209938
86.05,12.8,97.94123,12.979412,0.1381897823814734,0.014016568660736
92.05,13.0,90.22256,12.378614,0.0198527206097653,0.0477988903339092
68.0,6.5,73.54719,8.514725,0.081576291252585,0.3099576509915865
72.0,8.9,59.43291,6.8973136,0.1745429039001464,0.2250209444024589
77.2,8.6,87.43305,11.446471,0.1325524878625424,0.3309850249179574
79.0,9.0,72.29266,8.357,0.0849029927314082,0.0714444054497612
88.2,12.3,93.7474,12.986059,0.0628956732025492,0.0557771698246156
71.0,7.1,77.5264,10.0059185,0.09192109443772,0.409284296170087
105.9,15.3,77.98654,9.744699,0.2635831751836934,0.36309159970751
93.85,12.7,84.85984,11.386623,0.0957928567600808,0.1034154816875307
90.15,12.3,88.632805,11.998175,0.0168296742029344,0.0245386449302115
95.1,15.6,90.62527,12.59072,0.0470529229357665,0.1929025527758475
89.55,11.6,76.825905,10.141747,0.1420892814495655,0.1257114245973784
78.95,9.6,77.76283,9.160044,0.0150369519746477,0.0458287795384724
81.55,12.1,92.068474,11.905569,0.1289818984171425,0.0160686713604887
79.005,9.1,73.76959,8.292487,0.0662667896315897,0.0887376764318444
101.35,13.3,88.21511,12.274995,0.129599301639777,0.0770680563790458
97.7,14.6,84.386055,11.015893,0.1362737462366859,0.2454867820217184
86.0,10.3,89.528366,11.777878,0.0410275126612463,0.1434832822929307
66.35,7.6,67.247375,7.894809,0.0135248754827619,0.0387906275297466
69.7,7.9,75.665344,8.684173,0.0855860005492288,0.0992623582670959
68.7,7.0,78.47861,9.287111,0.1423378046249544,0.3267301831926618
90.0,13.6,84.27114,11.300237,0.0636539883083767,0.1691002425025491
97.5,13.7,102.43068,14.129729,0.0505710699619391,0.0313671000682525
76.1,8.9,96.18891,12.803303,0.2639804393953783,0.4385733443699525
89.2,11.8,100.9778,14.565756,0.1320380993488123,0.2343860884844245
93.35,13.1,96.72448,13.665452,0.0361486842559504,0.0431642750747331
90.5,12.1,99.10396,13.902775,0.0950713605511913,0.1489896537843815
58.25,5.3,70.465294,7.819582,0.209704616039096,0.4753928274478552
82.15,9.5,76.32291,9.026355,0.070932361605105,0.0498573905543277
77.3,9.4,77.31271,8.668499,0.0001644711907746,0.0778192560723487
64.25,7.2,67.070435,8.051902,0.0438978143239299,0.1183196968502468
82.25,11.3,91.45879,12.13758,0.1119610169013582,0.0741221166290012
66.65,6.6,67.83969,7.937166,0.0178498298891128,0.2026009415135239
87.35,10.9,92.111786,12.212671,0.0545138624919505,0.1204285577896537
83.0,9.5,92.7688,12.879967,0.1176963714231927,0.3557859721936677
81.85,8.9,99.9897,13.311043,0.2216212622771267,0.4956227849038798
61.25,5.3,64.06229,7.149815,0.0459148796237244,0.3490217136886885
108.8,19.5,102.4205,13.955463,0.0586350945865406,0.284335209773137
75.6,9.1,69.459404,8.127736,0.0812248149246134,0.1068421877347505
67.05,6.5,71.53952,8.222426,0.0669577966244873,0.2649886791522686
85.6,10.6,95.80808,12.9122715,0.1192533011748412,0.2181388207201688
94.1,14.2,104.12413,14.254882,0.1065263575879218,0.0038649196356115
89.7,11.9,89.36407,12.266061,0.0037450715982528,0.0307614142153443
65.3,8.1,68.93121,7.946364,0.0556081681302642,0.0189674165513779
60.1,5.5,76.014885,9.533742,0.2648067379156483,0.7334076274525035
