,model,MeanRelativeError_Height,MeanRelativeError_Weight
24,baseline2_NoFreeze_fullEpoch_2_finetuneEpoch_50.pt,0.032568153310101856,0.15388923197616802
23,baseline2_NoFreeze_fullEpoch_2_finetuneEpoch_30.pt,0.04618443574937852,0.17784327381425832
22,baseline2_NoFreeze_fullEpoch_2_finetuneEpoch_20.pt,0.039501734342826444,0.18180409983597565
17,baseline2_NoFreeze_fullEpoch_0_finetuneEpoch_40.pt,0.050728839925592475,0.18470126344214174
18,baseline2_NoFreeze_fullEpoch_0_finetuneEpoch_50.pt,0.03627366733409651,0.1856376099641557
25,baseline2_NoFreeze_fullEpoch_3_finetuneEpoch_10.pt,0.05328368384005489,0.18652196242510102
20,baseline2_NoFreeze_fullEpoch_1_finetuneEpoch_10.pt,0.04407570090184713,0.18717463373746332
21,baseline2_NoFreeze_fullEpoch_1_finetuneEpoch_30.pt,0.03854037338986744,0.1910042550280946
3,baseline1_NoFreeze_fullEpoch_0_finetuneEpoch_40.pt,0.06131028062446405,0.1960805448992925
27,baseline2_NoFreeze_fullEpoch_3_finetuneEpoch_50.pt,0.03277521289848402,0.19648521662016422
9,baseline1_NoFreeze_fullEpoch_2_finetuneEpoch_20.pt,0.05065364230278394,0.1966933026185902
15,baseline2_NoFreeze_fullEpoch_0_finetuneEpoch_10.pt,0.060442902734703215,0.1968439918825494
13,baseline1_NoFreeze_fullEpoch_3_finetuneEpoch_40.pt,0.053345417176646946,0.19694507453717278
50,baseline4_NoFreeze_fullEpoch_1_finetuneEpoch_30.pt,0.050532163627346874,0.19798119220349975
5,baseline1_NoFreeze_fullEpoch_1_finetuneEpoch_10.pt,0.05697368035579381,0.19831524435850675
34,baseline3_NoFreeze_fullEpoch_2_finetuneEpoch_10.pt,0.056768027312915637,0.1983264780684051
53,baseline4_NoFreeze_fullEpoch_2_finetuneEpoch_20.pt,0.07405297527546166,0.19851581630165432
40,baseline3_NoFreeze_fullEpoch_3_finetuneEpoch_20.pt,0.05074528163849956,0.19853864247588757
36,baseline3_NoFreeze_fullEpoch_2_finetuneEpoch_30.pt,0.07178430545977738,0.19864527895709438
