,model,MeanRelativeError_Height,MeanRelativeError_Weight
2,baseline1_freeze_fullEpoch_0_finetuneEpoch_30.pt,0.040478940636315554,0.17226651464680734
29,baseline2_freeze_fullEpoch_2_finetuneEpoch_50.pt,0.034037267366375884,0.17512873577044333
25,baseline2_freeze_fullEpoch_1_finetuneEpoch_50.pt,0.032257471999821825,0.1754717207267468
30,baseline2_freeze_fullEpoch_3_finetuneEpoch_10.pt,0.03551460422377647,0.1761606823402225
10,baseline1_freeze_fullEpoch_2_finetuneEpoch_10.pt,0.03755352726743384,0.17627205681834285
31,baseline2_freeze_fullEpoch_3_finetuneEpoch_40.pt,0.030470742589193064,0.17635535618048193
11,baseline1_freeze_fullEpoch_2_finetuneEpoch_20.pt,0.03491297151807317,0.17682307817191129
32,baseline2_freeze_fullEpoch_3_finetuneEpoch_50.pt,0.030051352488038464,0.17858081006610113
7,baseline1_freeze_fullEpoch_1_finetuneEpoch_40.pt,0.038696656917237865,0.1799948454611653
1,baseline1_freeze_fullEpoch_0_finetuneEpoch_20.pt,0.0348423047321933,0.18097837802361716
19,baseline2_freeze_fullEpoch_0_finetuneEpoch_40.pt,0.030149913430481574,0.18102936733502067
12,baseline1_freeze_fullEpoch_2_finetuneEpoch_49.pt,0.039891602376780334,0.18476253939211962
24,baseline2_freeze_fullEpoch_1_finetuneEpoch_40.pt,0.0360135778563623,0.18526788622115883
18,baseline2_freeze_fullEpoch_0_finetuneEpoch_20.pt,0.03765312961763265,0.18559283048493425
17,baseline2_freeze_fullEpoch_0_finetuneEpoch_10.pt,0.04494280631585218,0.18565010897118903
56,baseline4_freeze_fullEpoch_3_finetuneEpoch_20.pt,0.040928177713435134,0.1857954469838454
45,baseline3_freeze_fullEpoch_3_finetuneEpoch_20.pt,0.054839437806187004,0.18608260178064642
37,baseline3_freeze_fullEpoch_0_finetuneEpoch_50.pt,0.04650516641846614,0.18676834463266181
52,baseline4_freeze_fullEpoch_2_finetuneEpoch_20.pt,0.04233019779947318,0.1873190673840194
53,baseline4_freeze_fullEpoch_2_finetuneEpoch_40.pt,0.04175964849484008,0.1878071256277823
13,baseline1_freeze_fullEpoch_3_finetuneEpoch_20.pt,0.03582519302277618,0.18796725220426633
55,baseline4_freeze_fullEpoch_3_finetuneEpoch_10.pt,0.04102217856316639,0.18797671599297447
58,baseline4_freeze_fullEpoch_3_finetuneEpoch_50.pt,0.039655080387406456,0.1880404606488662
57,baseline4_freeze_fullEpoch_3_finetuneEpoch_40.pt,0.051085509770861924,0.188327883753211
46,baseline4_freeze_fullEpoch_0_finetuneEpoch_30.pt,0.06756988232371092,0.1884899019423842
44,baseline3_freeze_fullEpoch_3_finetuneEpoch_0.pt,0.04386762140448775,0.18913277143328466
6,baseline1_freeze_fullEpoch_1_finetuneEpoch_10.pt,0.03808117661021781,0.18963497650003738
28,baseline2_freeze_fullEpoch_2_finetuneEpoch_40.pt,0.03557398410181675,0.19027385733214328
38,baseline3_freeze_fullEpoch_1_finetuneEpoch_10.pt,0.04226840135899663,0.19162933951144284
